buggy_B2,buggy_AG,buggy_MA,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
clean,clean,clean,clean,1,1,2,0.818507,271,0,0,0,0,0,0,101,72.87,17
clean,clean,clean,clean,1,1,1,0,5,4,202,0,1,0.29,1,102,73.82,18
clean,clean,clean,clean,1,1,4,1.44185,270,5,68,0,1,0.35,0.5,103,74.74,19
clean,clean,clean,clean,1,1,5,1.93449,169,12,66.8,0,1,0.7,0.6,104,75.47,20
clean,clean,clean,clean,1,2,3,0.966452,21,2,159.33,0,2,11.5,6.33,105,76.47,94
clean,clean,clean,clean,2,2,2,0.228538,43,11,197,0,2,6.2,9.5,106,77.27,116
clean,clean,clean,clean,1,2,4,1.56186,55,71,114.25,0,2,57.19,3.25,107,77.94,96
clean,clean,clean,clean,1,2,2,0.239397,8,119,302,0,2,35.21,14,108,78.94,97
buggy,clean,clean,clean,1,7,13,3.08933,87,26,176.15,0,1,68.8,1.92,109,79.62,98
clean,clean,clean,clean,3,15,25,3.59206,28,104,170.44,0,5,58,2.08,110,80.49,126
clean,clean,clean,clean,1,1,1,0,2,2,151,0,3,0,12,111,81.49,6
buggy,clean,clean,clean,1,1,1,0,29,4,113,0,2,36.84,12,7,5.4,6
clean,clean,clean,clean,1,1,1,0,1,1,109,0,1,36.84,10,8,6.4,7
clean,clean,clean,clean,1,1,1,0,26,40,348,0,2,9.72,19,112,81.3,100
clean,clean,clean,clean,3,6,11,0.697892,20,616,117.36,0,3,90.71,1.55,113,82.14,131
clean,clean,clean,clean,2,4,4,0.725196,76,31,140.5,0,2,18.92,6,114,82.9,126
clean,clean,clean,clean,1,1,1,0,5,2,72,0,1,10.15,3,115,83.9,103
clean,clean,clean,clean,1,1,1,0,25,1,157,0,1,153.02,4,78,54.87,31
clean,clean,clean,clean,1,1,1,0,0,10,10,0,1,268.8,1,79,55.87,32
clean,clean,clean,clean,3,3,7,2.25445,17,17,230.43,0,4,83.3,9.29,80,56.87,84
clean,clean,clean,clean,1,3,3,0.855353,19,15,200,0,4,17.28,8,116,84.76,104
buggy,clean,clean,clean,1,1,1,0,1,7,138,0,2,3.99,13,117,85.76,105
